1,79
2,518
3,976
4,979
5,28
6,12
7,776
8,366
9,345
10,407
11,192
12,131
13,578
14,140
15,114
16,860
17,474
18,865
19,474
20,99
21,177
22,189
23,962
24,944
25,467
26,149
27,182
28,274
29,171
30,807
31,348
32,21
33,813
34,526
35,94
36,683
37,684
38,9
39,818
40,454
41,948
42,699
43,919
44,90
45,794
46,79
47,226
48,895
49,622
50,679
51,734
52,477
53,484
54,549
55,188
56,434
57,243
58,133
59,717
60,825
61,602
62,109
63,360
64,89
65,701
66,266
67,851
68,205
69,423
70,509
71,63
72,791
73,400
74,755
75,151
76,586
77,875
78,627
79,332
80,99
81,902
82,598
83,788
84,593
85,509
86,80
87,672
88,881
89,669
90,319
91,26
92,801
93,451
94,85
95,525
96,162
97,583
98,792
99,838
100,735
101,839
102,926
103,940
104,98
105,386
106,979
107,877
108,48
109,692
110,266
111,827
112,374
113,495
114,166
115,978
116,349
117,726
118,778
119,438
120,833
121,485
122,281
123,439
124,713
125,827
126,488
127,234
128,36
129,311
130,37
131,877
132,270
133,655
134,45
135,497
136,524
137,227
138,364
139,126
140,572
141,862
142,489
143,868
144,628
145,65
146,438
147,51
148,849
149,888
150,903
151,395
152,47
153,650
154,445
155,120
156,802
157,210
158,954
159,11
160,858
161,61
162,452
163,122
164,208
165,675
166,345
167,776
168,52
169,445
170,340
171,439
172,321
173,55
174,84
175,168
176,507
177,52
178,135
179,264
180,343
181,733
182,484
183,207
184,18
185,528
186,220
187,144
188,172
189,297
190,327
191,571
192,927
193,826
194,251
195,957
196,105
197,215
198,701
199,231
200,597
201,28
202,378
203,654
204,406
205,183
206,795
207,102
208,67
209,807
210,392
211,751
212,746
213,46
214,748
215,279
216,819
217,522
218,708
219,951
220,118
221,468
222,335
223,606
224,246
225,243
226,268
227,826
228,228
229,106
230,661
231,325
232,321
233,742
234,950
235,394
236,556
237,495
238,36
239,454
240,60
241,744
242,160
243,253
244,81
245,977
246,940
247,604
248,345
249,355
250,257
251,113
252,699
253,470
254,571
255,199
256,812
257,620
258,367
259,749
260,807
261,690
262,129
263,4
264,819
265,799
266,181
267,847
268,409
269,135
270,683
271,10
272,390
273,538
274,107
275,923
276,74
277,635
278,420
279,861
280,676
281,23
282,645
283,122
284,983
285,588
286,134
287,357
288,79
289,499
290,425
291,680
292,818
293,929
294,137
295,312
296,482
297,239
298,457
299,634
300,861
301,414
302,544
303,693
304,714
305,181
306,585
307,568
308,684
309,656
310,788
311,214
312,1
313,922
314,757
315,456
316,820
317,290
318,761
319,759
320,351
321,580
322,745
323,7
324,825
325,927
326,849
327,984
328,157
329,619
330,438
331,774
332,391
333,141
334,570
335,50
336,546
337,574
338,404
339,703
340,678
341,252
342,135
343,567
344,92
345,182
346,810
347,394
348,304
349,81
350,67
351,57
352,85
353,833
354,964
355,640
356,758
357,128
358,342
359,618
360,498
361,499
362,524
363,976
364,698
365,354
366,952
367,570
368,211
369,596
370,219
371,790
372,947
373,909
374,626
375,693
376,720
377,80
378,502
379,170
380,938
381,401
382,607
383,579
384,983
385,79
386,184
387,240
388,163
389,327
390,534
391,587
392,880
393,26
394,908
395,246
396,649
397,184
398,190
399,199
400,472
401,54
402,699
403,554
404,306
405,16
406,281
407,273
408,947
409,357
410,347
411,427
412,956
413,958
414,7
415,257
416,113
417,619
418,953
419,288
420,114
421,141
422,186
423,115
424,922
425,411
426,282
427,883
428,447
429,117
430,465
431,839
432,746
433,950
434,107
435,781
436,387
437,447
438,307
439,372
440,590
441,538
442,311
443,986
444,263
445,444
446,143
447,852
448,71
449,250
450,774
451,878
452,359
453,251
454,711
455,972
456,479
457,82
458,434
459,74
460,856
461,129
462,124
463,358
464,413
465,201
466,722
467,659
468,31
469,161
470,858
471,757
472,849
473,549
474,677
475,353
476,353
477,522
478,824
479,714
480,881
481,266
482,562
483,565
484,648
485,304
486,545
487,303
488,285
489,46
490,2
491,564
492,557
493,533
494,953
495,533
496,949
497,262
498,264
499,618
500,975
501,909
502,407
503,179
504,482
505,370
506,419
507,868
508,115
509,521
510,831
511,596
512,8
513,595
514,151
515,360
516,198
517,964
518,702
519,576
520,792
521,546
522,355
523,346
524,561
525,996
526,494
527,409
528,899
529,914
530,311
531,254
532,348
533,291
534,996
535,955
536,277
